ID_Obat;Nama_Obat;Kategori;Indikasi;Kontraindikasi;Dosis_Dewasa;Dosis_Anak;Bentuk_Sediaan;Kandungan;Efek_Samping;Interaksi;Peringatan;Harga;Ketersediaan;Produsen;No_BPOM;Golongan;Resep;Rating
OB001;Paracetamol;Analgesik-Antipiretik;"Demam; Nyeri ringan";"Hipersensitivitas; Gangguan hati";500-1000mg/4-6jam;10-15mg/kg BB/dosis;Tablet;Paracetamol 500mg;"Mual; Ruam kulit";"Warfarin; Karbamazepin";Hati-hati pada gangguan hati;Rp5.000;Tersedia;PT Kimia Farma;DBL7621234567;Bebas;Tidak;4
OB002;Amoxicillin;Antibiotik;Infeksi bakteri;Alergi penisilin;500mg/8jam;25mg/kg BB/hari;Kapsul;Amoxicillin trihydrate;"Diare; Mual";"Probenesid; Allopurinol";Tidak untuk infeksi virus;Rp15.000;Tersedia;PT Bernofarm;DBL7621234568;Keras;Ya;4
OB003;Omeprazole;Antasida;"Maag; GERD";Hipersensitivitas;20mg/24jam;0.7-3.3mg/kg/hari;Kapsul;Omeprazole 20mg;"Sakit kepala; Diare";"Clopidogrel; Digoxin";Hindari penggunaan jangka panjang;Rp25.000;Tersedia;PT Dexa Medica;DBL7621234569;Keras;Ya;4
OB004;Cetirizine;Antihistamin;"Alergi; Rhinitis";Gangguan ginjal berat;10mg/24jam;5-10mg/24jam;Tablet;Cetirizine HCl;"Mengantuk; Mulut kering";"Alkohol; Sedatif";Hindari mengemudi;Rp12.000;Tersedia;PT Kalbe Farma;DBL7621234570;Bebas Terbatas;Tidak;4
OB005;Metformin;Antidiabetes;Diabetes tipe 2;Gangguan ginjal;500-2500mg/hari;Tidak direkomendasikan;Tablet;Metformin HCl;"Mual; Diare";"Furosemide; Nifedipin";Monitor gula darah;Rp20.000;Tersedia;PT Sanbe Farma;DBL7621234571;Keras;Ya;5
OB006;Simvastatin;Antilipid;Kolesterol tinggi;Penyakit hati aktif;10-40mg/hari;Tidak direkomendasikan;Tablet;Simvastatin 20mg;"Nyeri otot; Sakit kepala";"Gemfibrozil; Amiodaron";Monitor fungsi hati;Rp30.000;Tersedia;PT Pharos;DBL7621234572;Keras;Ya;4
OB007;Amlodipine;Antihipertensi;Tekanan darah tinggi;Syok kardiogenik;5-10mg/hari;0.1-0.3mg/kg/hari;Tablet;Amlodipine besylate;"Edema; Pusing";"Simvastatin; Beta blocker";Monitor tekanan darah;Rp28.000;Tersedia;PT Novartis;DBL7621234573;Keras;Ya;4
OB008;Diazepam;Ansiolitik;"Anxietas; Insomnia";Glaukoma;2-10mg/hari;0.12-0.8mg/kg/hari;Tablet;Diazepam 5mg;"Mengantuk; Konfusi";"Alkohol; Antidepresan";Potensi ketergantungan;Rp35.000;Tersedia;PT Soho;DBL7621234574;Keras;Ya;5
OB009;Dexamethasone;Kortikosteroid;"Inflamasi; Alergi";Infeksi sistemik;0.5-10mg/hari;0.03-0.15mg/kg/hari;Tablet;Dexamethasone 0.5mg;"Moonface; Osteoporosis";"NSAIDs; Antijamur";Tidak untuk penggunaan jangka panjang;Rp18.000;Tersedia;PT Bio Farma;DBL7621234575;Keras;Ya;4
OB010;Ibuprofen;NSAID;"Nyeri; Inflamasi";Tukak lambung;400-800mg/6-8jam;5-10mg/kg/dosis;Tablet;Ibuprofen 400mg;"Nyeri lambung; Mual";"Aspirin; Warfarin";Hindari penggunaan jangka panjang;Rp8.000;Tersedia;PT Indofarma;DBL7621234576;Bebas Terbatas;Tidak;5
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
